scenario,pm_mean,pm_std,pm_n,pm_min,pm_max,pm_cv,ci_halfwidth,ci_precision,ci_lower,ci_upper,unit,pm
10,5.190852191697243,0.2824576079836335,15,4.832776120390667,5.669089544307963,0.05441449641648896,0.1564198095758378,0.030133743708986922,5.034432382121405,5.347272001273081,ldr,blockedby_ldr_p95
11,4.492205009579004,0.3049791927688919,15,4.070749682270255,5.013630974282866,0.06789075567979781,0.16889184751669695,0.037596647338346875,4.323313162062306,4.661096857095701,ldr,blockedby_ldr_p95
12,4.379107566805547,0.35311082811078476,15,3.7270437782485697,4.793406547977154,0.08063534012898674,0.19554625873435755,0.044654362961219475,4.183561308071189,4.5746538255399045,ldr,blockedby_ldr_p95
13,7.480874415261633,0.5411374830978384,15,6.644678778696923,8.481332771254708,0.07233612717704109,0.2996719495883311,0.04005841201891778,7.181202465673302,7.780546364849965,ldr,blockedby_ldr_p95
14,7.163489761687937,0.4650236226831624,15,6.3593579012786,7.907115434574006,0.06491579358013748,0.2575214986334559,0.0359491682407006,6.905968263054481,7.421011260321393,ldr,blockedby_ldr_p95
15,6.438418740016514,0.8996702227582127,15,4.977939614701247,7.80259386496873,0.13973465521379014,0.49822076285884753,0.07738247277429638,5.940197977157666,6.936639502875362,ldr,blockedby_ldr_p95
16,5.878477575897306,0.7428384658291137,15,4.581547492438016,7.008975976592494,0.12636579050243718,0.41137023074035994,0.0699790422654742,5.467107345156946,6.289847806637666,ldr,blockedby_ldr_p95
1,0.17725956058159048,0.031644225376222176,15,0.1304347826086956,0.2433392539964476,0.17851914600485944,0.01752398791046327,0.09886060787337439,0.1597355726711272,0.19478354849205376,pp,pct_blocked_by_pp
2,0.05256897987298751,0.01000039058829776,15,0.0348781653129479,0.0666358167515039,0.19023368177316383,0.005538031716236067,0.10534790154986012,0.04703094815675144,0.05810701158922358,pp,pct_blocked_by_pp
3,0.18765844191072967,0.03369584843510546,15,0.1342570473005255,0.2544404973357016,0.1795594596865234,0.018660138890721215,0.09943671438771703,0.16899830302000846,0.20631858080145088,pp,pct_blocked_by_pp
4,0.057399526456533304,0.013270400964860844,15,0.0315336837075967,0.0814437760296159,0.2311935617606543,0.0073489031035015445,0.12803072703163532,0.05005062335303176,0.06474842956003485,pp,pct_blocked_by_pp
